,S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
782,782,Maruti Celerio VXI,Hyderabad,2014,44600,Petrol,Automatic,First,23,998,67,5,5
783,783,Mercedes-Benz A Class,Mumbai,2013,37000,Diesel,Automatic,First,20,2143,107,5,14
784,784,Hyundai Creta 1.6,Ahmedabad,2016,21000,Petrol,Manual,First,15,1591,121,5,11
785,785,Maruti Wagon R,Bangalore,2010,81245,Petrol,Manual,First,18,998,67,5,2
786,786,Mercedes-Benz E-Class 2009-2013,Delhi,2013,70000,Diesel,Automatic,First,10,2148,170,5,16
787,787,Ford EcoSport 1.5,Mumbai,2017,4018,Petrol,Manual,First,18,1499,110,5,8
788,788,Renault Koleos 2.0,Delhi,2013,70000,Diesel,Automatic,Second,13,1995,148,5,8
789,789,Mahindra XUV500 W10,Coimbatore,2016,56532,Diesel,Manual,First,16,2179,140,7,16
790,790,Maruti Omni E,Hyderabad,2013,26875,Petrol,Manual,First,16,796,34,8,2
791,791,Maruti Wagon R,Coimbatore,2015,72599,Petrol,Manual,First,22,998,67,5,4
792,792,Ford Endeavour XLT,Jaipur,2008,205000,Diesel,Manual,Second,13,2499,141,7,4
793,793,Hyundai Verna 1.6,Hyderabad,2011,98000,Diesel,Manual,Second,22,1582,126,5,5
794,794,Hyundai i20 Magna,Mumbai,2018,19500,Petrol,Manual,First,18,1197,81,5,6
795,795,Maruti Ertiga ZXI,Bangalore,2013,68000,Petrol,Manual,Second,16,1373,93,7,6
796,796,Mahindra XUV500 W9,Coimbatore,2019,19654,Diesel,Automatic,First,14,2179,155,7,18
797,797,Maruti SX4 S,Mumbai,2017,26000,Diesel,Manual,First,23,1248,88,5,10
798,798,Mercedes-Benz SLK-Class SLK,Bangalore,2015,10000,Petrol,Automatic,First,18,3498,306,2,55
799,799,Volkswagen Polo Diesel,Hyderabad,2011,75020,Diesel,Manual,First,22,1199,73,5,4
800,800,Toyota Fortuner 4x4,Hyderabad,2011,157000,Diesel,Manual,First,12,2982,168,7,12
801,801,Mahindra XUV500 W10,Kochi,2017,43773,Diesel,Manual,First,16,2179,140,7,14
802,802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,Diesel,Automatic,First,17,2143,201,5,56
803,803,Honda Jazz 1.2,Chennai,2016,23280,Petrol,Manual,First,18,1199,88,5,6
804,804,Maruti Swift Dzire,Pune,2013,88000,Diesel,Manual,First,23,1248,74,5,5
805,805,Hyundai Verna 1.6,Hyderabad,2014,67000,Petrol,Manual,First,17,1591,121,5,6
806,806,Ford Endeavour 3.2,Coimbatore,2017,59636,Diesel,Automatic,First,10,3198,197,7,29
807,807,Hyundai i20 1.2,Kolkata,2018,11000,Petrol,Manual,First,18,1197,81,5,6
808,808,Honda City 1.5,Mumbai,2013,60669,Petrol,Manual,First,16,1497,116,5,5
809,809,Honda Amaze VX,Hyderabad,2018,12000,Diesel,Manual,First,27,1498,98,5,8
810,810,Hyundai Verna 1.6,Kolkata,2013,35000,Petrol,Manual,First,17,1591,121,5,4
811,811,Honda Mobilio S,Chennai,2015,65000,Diesel,Manual,First,24,1498,98,7,6
812,812,Maruti Ertiga ZDI,Kochi,2013,39929,Diesel,Manual,First,20,1248,88,7,7
813,813,Maruti Alto K10,Pune,2014,49000,Petrol,Manual,First,24,998,67,5,2
814,814,Toyota Qualis FS,Pune,2004,77757,Diesel,Manual,Second,13,2446,75,10,4
815,815,Hyundai i10 Sportz,Kochi,2016,21456,Petrol,Manual,First,20,1197,78,5,5
816,816,Skoda Laura 1.9,Bangalore,2009,74000,Diesel,Automatic,Second,17,1896,105,5,8
817,817,Hyundai i20 Asta,Mumbai,2015,37000,Petrol,Manual,Second,18,1197,81,5,5
818,818,BMW 5 Series,Coimbatore,2013,108640,Diesel,Automatic,First,11,2993,235,5,23
819,819,BMW 3 Series,Mumbai,2016,38000,Diesel,Automatic,First,22,1995,190,5,24
820,820,Chevrolet Aveo 1.4,Pune,2010,80000,Petrol,Manual,First,14,1399,92,5,2
821,821,Mercedes-Benz E-Class 2009-2013,Mumbai,2011,47000,Diesel,Automatic,Second,14,2143,203,5,14
822,822,Audi A6 2011-2015,Kolkata,2013,31000,Diesel,Automatic,First,17,1968,174,5,19
823,823,Maruti Wagon R,Kolkata,2014,40000,Petrol,Manual,First,20,998,67,5,2
824,824,Renault KWID RXT,Jaipur,2016,4152,Petrol,Manual,First,25,799,53,5,3
825,825,Volkswagen Ameo 1.5,Mumbai,2017,51000,Diesel,Manual,First,21,1498,108,5,6
826,826,Volkswagen Polo Diesel,Ahmedabad,2013,55000,Diesel,Manual,First,22,1199,73,5,4
827,827,Maruti Alto 800,Hyderabad,2014,58500,Petrol,Manual,First,22,796,47,5,3
828,828,Hyundai i20 Asta,Kochi,2017,58620,Petrol,Manual,First,18,1197,81,5,7
830,830,Hyundai i20 1.2,Jaipur,2012,71172,Petrol,Manual,Third,17,1197,80,5,4
831,831,Hyundai i20 1.4,Chennai,2017,12000,Diesel,Manual,First,22,1396,88,5,7
832,832,Maruti Wagon R,Kolkata,2014,25000,Petrol,Manual,First,20,998,67,5,3
833,833,Hyundai i20 1.4,Bangalore,2017,43000,Diesel,Manual,Second,22,1396,88,5,8
834,834,Volkswagen Polo GT,Mumbai,2015,57022,Petrol,Automatic,First,17,1197,103,5,7
835,835,Ford Figo Diesel,Pune,2015,92000,Diesel,Manual,First,20,1399,68,5,4
836,836,Maruti Swift ZXI,Coimbatore,2014,33372,Petrol,Manual,Second,18,1197,85,5,6
837,837,Hyundai Grand i10,Kochi,2016,52625,Diesel,Manual,First,24,1120,70,5,5
838,838,Mahindra Xylo H4,Chennai,2016,215000,Diesel,Manual,First,14,2179,118,7,8
839,839,Maruti Alto Green,Delhi,2012,65537,CNG,Manual,First,26,796,38,5,2
840,840,Hyundai i10 Magna,Coimbatore,2014,60138,Petrol,Manual,First,19,1086,68,5,4
841,841,Skoda Octavia Elegance,Mumbai,2014,84000,Diesel,Automatic,First,19,1968,141,5,11
842,842,BMW X5 2014-2019,Mumbai,2014,47000,Diesel,Automatic,First,15,2993,258,7,42
843,843,Maruti Celerio VXI,Hyderabad,2014,33450,Petrol,Automatic,First,23,998,67,5,4
844,844,Volkswagen Vento Diesel,Jaipur,2013,125000,Diesel,Manual,Second,20,1598,103,5,6
845,845,BMW 3 Series,Pune,2011,99606,Diesel,Automatic,Second,16,1995,181,5,10
846,846,Maruti Ertiga ZDI,Mumbai,2014,64000,Diesel,Manual,First,20,1248,88,7,7
847,847,Ford Figo Diesel,Hyderabad,2013,51000,Diesel,Manual,First,20,1399,68,5,3
848,848,Volkswagen Polo 1.2,Mumbai,2014,57000,Petrol,Manual,First,16,1198,74,5,4
849,849,Audi A6 3.0,Coimbatore,2009,48040,Diesel,Automatic,Second,16,2967,241,5,12
850,850,Toyota Innova Crysta,Pune,2017,43200,Diesel,Manual,First,13,2393,147,7,19
851,851,Hyundai Verna 1.6,Delhi,2013,66000,Diesel,Automatic,First,22,1582,126,5,6
852,852,Hyundai Santro Xing,Kolkata,2013,31000,Petrol,Manual,First,17,1086,62,5,2
853,853,Audi A4 2.0,Delhi,2011,46000,Diesel,Automatic,Second,16,1968,147,5,11
854,854,Audi A4 2.0,Kolkata,2012,47346,Diesel,Automatic,First,16,1968,147,5,14
855,855,Skoda Laura 1.9,Jaipur,2009,100000,Diesel,Manual,First,17,1896,105,5,3
856,856,Honda CR-V 2.0L,Coimbatore,2015,63856,Petrol,Automatic,First,13,1997,153,5,14
857,857,Hyundai Verna 1.6,Coimbatore,2015,72996,Diesel,Manual,First,22,1582,126,5,7
858,858,Honda Mobilio RS,Chennai,2014,23000,Diesel,Manual,First,24,1498,98,7,7
859,859,Hyundai i20 1.2,Coimbatore,2018,15985,Petrol,Manual,First,18,1197,81,5,8
860,860,Toyota Innova 2.5,Kolkata,2011,98000,Diesel,Manual,Second,12,2494,102,8,6
861,861,Hyundai i20 Magna,Hyderabad,2014,70089,Petrol,Manual,First,18,1197,81,5,5
862,862,Mahindra Bolero VLX,Chennai,2011,99000,Diesel,Manual,Second,13,2523,63,7,4
863,863,Volkswagen Vento 1.5,Jaipur,2014,72000,Diesel,Manual,First,20,1498,103,5,5
864,864,Jaguar XF 2.2,Coimbatore,2015,44194,Diesel,Automatic,First,16,2179,187,5,33
865,865,Maruti Zen LXi,Mumbai,2005,102000,Petrol,Manual,First,17,993,60,5,1
866,866,Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,Diesel,Automatic,First,13,2987,258,5,50
867,867,Toyota Fortuner 3.0,Mumbai,2010,41650,Diesel,Manual,Second,11,2982,171,7,11
868,868,Hyundai Grand i10,Coimbatore,2015,61717,Petrol,Automatic,First,18,1197,82,5,6
869,869,Hyundai Xcent 1.2,Jaipur,2018,25302,Diesel,Manual,First,25,1186,73,5,6
870,870,Hyundai Creta 1.6,Coimbatore,2016,47016,Petrol,Manual,First,15,1591,121,5,9
871,871,Hyundai i10 Sportz,Bangalore,2010,69000,Petrol,Manual,First,20,1197,78,5,3
872,872,Honda Brio S,Delhi,2016,32700,Petrol,Manual,First,19,1198,86,5,4
873,873,Toyota Fortuner 4x2,Coimbatore,2015,101337,Diesel,Automatic,First,12,2982,168,7,22
874,874,Audi A4 2.0,Ahmedabad,2011,59000,Diesel,Automatic,First,16,1968,140,5,12
875,875,Toyota Innova Crysta,Kochi,2018,41736,Diesel,Automatic,First,11,2755,171,7,20
876,876,Honda City i,Jaipur,2014,71649,Diesel,Manual,First,25,1498,98,5,7
877,877,Honda City i,Kochi,2015,80606,Diesel,Manual,First,25,1498,98,5,7
878,878,Renault KWID 1.0,Jaipur,2017,63262,Petrol,Manual,First,21,999,67,5,3
879,879,Maruti Swift DDiS,Hyderabad,2018,5456,Diesel,Manual,First,28,1248,74,5,9
880,880,Maruti Celerio VXI,Pune,2017,7500,Petrol,Automatic,First,23,998,67,5,5
881,881,Mahindra XUV500 W8,Delhi,2011,66000,Diesel,Manual,First,15,2179,140,7,6
882,882,Hyundai i10 Magna,Jaipur,2010,66770,Petrol,Manual,Second,20,1197,78,5,3
883,883,Hyundai i10 Magna,Kochi,2014,58472,Petrol,Manual,First,19,1086,68,5,3
884,884,Maruti Dzire VXI,Kolkata,2011,46687,Petrol,Manual,First,22,1197,81,5,3
885,885,Maruti Grand Vitara,Chennai,2008,77000,Petrol,Automatic,Fourth & Above,9,1995,163,5,6
886,886,Audi TT 40,Kolkata,2012,7000,Petrol,Automatic,First,14,1984,226,4,35
887,887,Mercedes-Benz New C-Class,Mumbai,2011,48000,Petrol,Automatic,Second,14,1991,184,5,10
888,888,Nissan Sunny 2011-2014,Mumbai,2013,47000,Diesel,Manual,First,21,1461,84,5,4
889,889,Maruti Wagon R,Ahmedabad,2015,51530,Petrol,Manual,First,18,998,67,5,3
890,890,Maruti Swift Dzire,Bangalore,2014,25789,Diesel,Manual,Second,23,1248,74,5,7
891,891,Honda Amaze S,Delhi,2015,48000,Diesel,Manual,First,25,1498,98,5,4
892,892,Maruti Swift ZDI,Delhi,2012,52000,Diesel,Manual,First,28,1248,74,5,4
893,893,Hyundai Accent Executive,Hyderabad,2010,95637,CNG,Manual,Second,13,1495,93,5,2
894,894,Mahindra Scorpio LX,Hyderabad,2008,131000,Diesel,Manual,First,10,2609,120,7,4
895,895,Mercedes-Benz E-Class E250,Kochi,2015,42076,Diesel,Automatic,First,13,2143,201,5,22
896,896,Toyota Fortuner 4x2,Mumbai,2012,76000,Diesel,Manual,Second,13,2982,168,7,14
897,897,Datsun redi-GO T,Bangalore,2016,20487,Petrol,Manual,First,22,799,53,5,3
898,898,Honda City V,Delhi,2010,43000,Petrol,Manual,Second,16,1497,116,5,4
899,899,Toyota Camry Hybrid,Pune,2018,17000,Petrol,Automatic,First,19,2494,158,5,32
900,900,Honda City i,Coimbatore,2016,60805,Diesel,Manual,First,26,1498,98,5,8
901,901,Volkswagen Jetta 2012-2014,Kochi,2012,58775,Diesel,Manual,First,19,1968,138,5,6
902,902,Audi A6 2011-2015,Hyderabad,2013,70181,Diesel,Automatic,First,17,1968,174,5,24
903,903,Maruti Ertiga VDI,Coimbatore,2016,85827,Diesel,Manual,First,20,1248,88,7,8
904,904,Mercedes-Benz New C-Class,Jaipur,2016,58205,Diesel,Automatic,First,19,2143,167,5,27
905,905,Maruti Swift Dzire,Mumbai,2008,91000,Diesel,Manual,Second,19,1248,73,5,3
906,906,Renault Duster 110PS,Pune,2012,74000,Diesel,Manual,First,19,1461,108,5,6
907,907,Maruti Ritz VDi,Hyderabad,2010,79324,Diesel,Manual,First,21,1248,73,5,3
908,908,Maruti Swift Dzire,Bangalore,2013,38623,Petrol,Manual,First,19,1197,85,5,5
909,909,Maruti Swift ZDi,Coimbatore,2014,59923,Diesel,Manual,First,22,1248,74,5,6
910,910,Hyundai EON Sportz,Jaipur,2017,23360,Petrol,Manual,First,21,814,55,5,4
911,911,Maruti Zen VXI,Kochi,2003,61495,Petrol,Manual,Third,17,993,60,5,2
912,912,Maruti Eeco 7,Coimbatore,2012,56661,Petrol,Manual,First,15,1196,73,7,4
913,913,Audi Q5 30,Coimbatore,2017,40318,Diesel,Automatic,First,14,1968,174,5,44
914,914,Audi Q3 2.0,Chennai,2014,60000,Diesel,Automatic,First,15,1968,174,5,20
916,916,Maruti Swift Dzire,Hyderabad,2010,130000,Diesel,Manual,First,19,1248,73,5,4
917,917,Tata Sumo DX,Mumbai,2013,20000,Diesel,Manual,First,14,1978,83,10,5
918,918,BMW X5 2014-2019,Hyderabad,2016,76000,Diesel,Automatic,First,15,2993,258,7,58
919,919,Honda City i-VTEC,Mumbai,2015,30000,Petrol,Automatic,First,18,1497,117,5,9
920,920,Tata Indigo eCS,Delhi,2015,150000,Diesel,Manual,First,25,1396,69,5,2
921,921,Volkswagen Vento TSI,Chennai,2014,28000,Petrol,Automatic,First,16,1197,103,5,8
922,922,Maruti Celerio VXI,Bangalore,2015,74000,Petrol,Manual,First,23,998,67,5,4
923,923,Toyota Fortuner 3.0,Delhi,2011,75000,Diesel,Manual,First,11,2982,171,7,11
924,924,Mitsubishi Outlander 2.4,Delhi,2010,76000,Petrol,Automatic,Second,11,2360,170,5,6
925,925,Volkswagen Jetta 2007-2011,Pune,2014,64889,Diesel,Automatic,First,15,1896,105,5,12
927,927,Hyundai Creta 1.6,Kolkata,2015,43000,Diesel,Manual,First,19,1582,126,5,9
928,928,Skoda Fabia 1.2,Pune,2011,47490,Petrol,Manual,First,17,1198,75,5,2
929,929,Ford EcoSport 1.5,Chennai,2015,80000,Diesel,Manual,First,22,1498,98,5,7
930,930,Maruti Zen Estilo,Bangalore,2007,60000,Petrol,Manual,Second,18,1061,64,5,2
931,931,Maruti Ciaz 1.4,Ahmedabad,2017,6006,Petrol,Manual,First,20,1373,91,5,8
932,932,Mercedes-Benz New C-Class,Kochi,2011,71703,Petrol,Automatic,First,14,1991,181,5,9
933,933,Honda Amaze SX,Hyderabad,2016,33000,Petrol,Manual,First,17,1198,86,5,6
935,935,Renault Duster 85PS,Jaipur,2015,91000,Diesel,Manual,First,19,1461,83,5,6
936,936,Maruti Wagon R,Hyderabad,2012,72000,LPG,Manual,First,26,998,58,5,3
937,937,Volkswagen Polo Petrol,Kolkata,2011,43000,Petrol,Manual,Second,16,1198,73,5,2
938,938,Hyundai Creta 1.6,Coimbatore,2017,63770,Diesel,Manual,First,19,1582,126,5,14
939,939,Jaguar XF Diesel,Kolkata,2012,43510,Diesel,Automatic,First,14,2993,270,5,20
940,940,Jeep Compass 2.0,Mumbai,2017,52000,Diesel,Manual,First,16,1956,170,5,20
941,941,Land Rover Range,Kochi,2018,31427,Diesel,Automatic,First,15,1999,177,5,60
942,942,Maruti Baleno Alpha,Kolkata,2016,29000,Diesel,Manual,First,27,1248,74,5,6
943,943,Maruti Ciaz ZDi,Ahmedabad,2016,56000,Diesel,Manual,First,28,1248,88,5,8
944,944,Maruti SX4 Vxi,Jaipur,2007,76000,Petrol,Manual,Second,15,1586,104,5,2
945,945,Hyundai Elantra CRDi,Coimbatore,2015,53615,Diesel,Manual,First,22,1582,126,5,8
946,946,Mitsubishi Pajero Sport,Bangalore,2013,132000,Diesel,Manual,First,13,2477,175,7,12
947,947,Volkswagen Ameo 1.2,Pune,2017,14800,Petrol,Manual,First,17,1198,73,5,5
948,948,Maruti Ritz VXi,Hyderabad,2013,35433,Petrol,Manual,First,18,1197,85,5,4
949,949,Hyundai Verna CRDi,Hyderabad,2013,82966,Diesel,Manual,First,16,1493,110,5,7
950,950,Maruti Swift Dzire,Jaipur,2014,96000,Diesel,Manual,First,23,1248,74,5,5
951,951,Mahindra KUV 100,Kochi,2017,39528,Diesel,Manual,First,25,1198,77,6,6
952,952,Toyota Innova Crysta,Coimbatore,2018,92056,Diesel,Manual,First,13,2393,147,7,18
953,953,Maruti Baleno Delta,Pune,2016,14930,Petrol,Manual,First,21,1197,83,5,6
954,954,Honda Jazz VX,Mumbai,2016,38000,Diesel,Manual,First,27,1498,98,5,6
955,955,Hyundai i20 1.2,Delhi,2013,71000,Petrol,Manual,First,17,1197,80,5,4
956,956,Hyundai i20 Sportz,Delhi,2012,71000,Diesel,Manual,First,23,1396,90,5,4
957,957,Mercedes-Benz New C-Class,Pune,2015,50000,Diesel,Automatic,First,19,2143,167,5,30
958,958,Hyundai Xcent 1.2,Kochi,2016,48163,Petrol,Manual,First,19,1197,82,5,5
959,959,Hyundai Grand i10,Coimbatore,2017,19168,Petrol,Automatic,First,18,1197,82,5,7
960,960,Maruti Alto 800,Kolkata,2016,26000,Petrol,Manual,First,22,796,47,5,3
961,961,Chevrolet Sail Hatchback,Kolkata,2014,37400,Petrol,Manual,First,18,1199,82,5,2
962,962,Mercedes-Benz C-Class Progressive,Mumbai,2018,8682,Diesel,Automatic,First,0,1950,194,5,40
963,963,Skoda Superb Elegance,Mumbai,2012,95000,Petrol,Automatic,First,13,1798,157,5,10
964,964,Audi A4 2.0,Kolkata,2009,34000,Diesel,Automatic,First,16,1968,147,5,10
965,965,Toyota Innova 2.5,Mumbai,2014,95000,Diesel,Manual,Second,12,2494,102,8,9
966,966,Mercedes-Benz CLA 200,Coimbatore,2017,13689,Diesel,Automatic,First,17,2143,136,5,28
967,967,Hyundai i10 Era,Jaipur,2008,84000,Petrol,Manual,Second,19,1086,68,5,2
968,968,Maruti Swift Dzire,Kolkata,2008,47000,Petrol,Manual,Second,17,1298,85,5,1
969,969,Skoda Rapid 1.5,Ahmedabad,2015,60001,Diesel,Automatic,First,21,1498,103,5,7
970,970,Maruti Ritz VDi,Hyderabad,2012,96000,Diesel,Manual,First,21,1248,73,5,4
971,971,Hyundai Accent GLS,Jaipur,2004,47300,Petrol,Manual,Second,14,1599,94,5,1
972,972,Honda Amaze SX,Coimbatore,2014,28246,Petrol,Manual,Second,17,1198,86,5,5
973,973,Maruti Wagon R,Delhi,2007,65000,Petrol,Manual,Second,18,998,67,5,1
974,974,Volkswagen Polo Diesel,Chennai,2013,68000,Diesel,Manual,Second,22,1199,73,5,5
975,975,Ford Endeavour 2.2,Kochi,2019,11209,Diesel,Automatic,First,12,2198,158,7,31
976,976,Hyundai i20 1.2,Pune,2011,41980,Petrol,Manual,Second,17,1197,80,5,3
977,977,Chevrolet Beat Diesel,Bangalore,2012,65000,Diesel,Manual,First,25,936,57,5,2
978,978,Honda Civic 2010-2013,Kolkata,2010,38000,Petrol,Manual,First,14,1799,130,5,2
979,979,Maruti Wagon R,Pune,2014,51000,Petrol,Manual,First,20,998,67,5,3
980,980,Skoda Rapid 1.6,Kochi,2014,33855,Petrol,Manual,First,15,1598,103,5,5
981,981,Maruti Baleno Vxi,Pune,2006,146000,Petrol,Manual,Second,15,1590,94,5,1
982,982,Ford EcoSport 1.5,Bangalore,2015,47037,Diesel,Manual,Second,22,1498,98,5,7
983,983,Hyundai Accent GLE,Ahmedabad,2010,58000,Petrol,Manual,Second,13,1495,94,5,2
984,984,BMW 5 Series,Mumbai,2012,61240,Diesel,Automatic,First,22,1995,190,5,18
985,985,Maruti Alto K10,Chennai,2011,91211,Petrol,Manual,First,20,998,67,5,2
986,986,Audi Q3 2012-2015,Bangalore,2013,84000,Diesel,Automatic,First,15,1968,174,5,18
987,987,Maruti Wagon R,Mumbai,2008,64226,LPG,Manual,First,17,1061,57,5,1
988,988,Toyota Corolla H4,Bangalore,2005,67000,Petrol,Automatic,Second,11,1794,125,5,2
989,989,Volvo XC60 D5,Pune,2011,106976,Diesel,Automatic,First,13,2400,215,5,14
990,990,Honda Jazz 1.5,Kolkata,2016,27210,Diesel,Manual,First,27,1498,98,5,6
991,991,Maruti Ciaz 1.3,Delhi,2017,26322,Diesel,Manual,First,28,1248,88,5,9
992,992,Maruti Swift VXI,Mumbai,2016,9107,Petrol,Manual,First,20,1197,81,5,5
993,993,Mercedes-Benz New C-Class,Kochi,2015,63983,Diesel,Automatic,First,19,2143,170,5,17
994,994,Maruti Wagon R,Chennai,2010,134000,Petrol,Manual,Second,18,1061,67,5,2
995,995,Mercedes-Benz A Class,Pune,2015,11000,Petrol,Automatic,First,15,1595,120,5,16
996,996,Hyundai Santro Xing,Pune,2008,93000,Petrol,Manual,First,0,1086,62,5,1
997,997,Maruti Swift Dzire,Coimbatore,2017,24852,Diesel,Automatic,First,26,1248,74,5,8
998,998,Hyundai Grand i10,Pune,2014,37632,Petrol,Automatic,First,18,1197,82,5,4
999,999,Nissan Sunny 2011-2014,Chennai,2013,55000,Petrol,Manual,Second,16,1498,97,5,4
1000,1000,Maruti A-Star Lxi,Hyderabad,2010,81448,Petrol,Manual,First,19,998,66,5,3
1001,1001,Renault KWID RXT,Hyderabad,2018,1900,Petrol,Manual,First,25,799,53,5,4
1002,1002,Hyundai Verna 1.6,Coimbatore,2012,54957,Petrol,Automatic,First,17,1591,121,5,5
1003,1003,Maruti Wagon R,Chennai,2008,55000,Petrol,Manual,Second,18,1061,67,5,2
1004,1004,BMW 3 Series,Kolkata,2013,21983,Diesel,Automatic,First,18,1995,184,5,16
1005,1005,BMW 5 Series,Delhi,2013,76000,Diesel,Automatic,First,18,1995,177,5,19
1006,1006,Tata Indigo CS,Jaipur,2016,65000,Diesel,Manual,First,25,1396,69,5,3
1007,1007,Hyundai i20 Sportz,Hyderabad,2015,26000,Diesel,Manual,First,22,1396,88,5,6
1008,1008,Maruti Omni E,Kochi,2019,11571,Petrol,Manual,First,16,796,34,8,4
1009,1009,Maruti Swift ZDi,Hyderabad,2014,81000,Diesel,Manual,First,25,1248,74,5,6
1010,1010,Ford Ecosport Signature,Coimbatore,2019,23154,Diesel,Manual,First,23,1498,98,5,12
1011,1011,Honda Brio VX,Mumbai,2014,26856,Petrol,Automatic,First,16,1198,86,5,4
1012,1012,Toyota Innova Crysta,Chennai,2017,67489,Diesel,Manual,First,13,2393,147,7,16
1013,1013,Mahindra Scorpio 2.6,Bangalore,2008,176000,Diesel,Manual,Second,10,2179,120,8,4
1014,1014,Hyundai i20 1.2,Kolkata,2010,18000,Petrol,Manual,First,18,1197,80,5,2
1015,1015,Hyundai Verna 1.6,Ahmedabad,2014,63003,Diesel,Manual,First,22,1582,126,5,7
1016,1016,Mahindra XUV500 W6,Chennai,2014,80000,Diesel,Manual,First,15,2179,140,7,9
1017,1017,Volkswagen Vento 1.5,Coimbatore,2014,56658,Diesel,Manual,First,20,1498,108,5,5
1018,1018,Maruti Swift Dzire,Kochi,2019,18592,Diesel,Manual,First,26,1248,74,5,9
1019,1019,Tata Manza Aura,Pune,2010,75695,Petrol,Manual,First,13,1368,88,5,2
1020,1020,Maruti Swift VDI,Kolkata,2012,82000,Diesel,Manual,Second,22,1248,74,5,2
1021,1021,Volkswagen Polo Diesel,Chennai,2013,60000,Diesel,Manual,First,22,1199,73,5,5
1022,1022,Honda City 1.5,Pune,2009,138000,Petrol,Manual,Second,17,1497,118,5,4
1023,1023,Hyundai i20 Asta,Bangalore,2014,67000,Diesel,Manual,First,23,1396,90,5,6
1024,1024,Honda City 1.5,Coimbatore,2012,42750,Petrol,Manual,First,17,1497,118,5,6
1025,1025,Chevrolet Beat Diesel,Kochi,2014,52398,Diesel,Manual,First,25,936,57,5,2
1026,1026,Chevrolet Spark 1.0,Kochi,2014,36657,Petrol,Manual,First,16,995,62,5,3
1027,1027,Tata New Safari,Delhi,2011,77000,Diesel,Manual,Second,11,2179,138,7,4
1028,1028,Mercedes-Benz GL-Class 350,Delhi,2014,85000,Diesel,Automatic,First,11,2987,254,7,39
1029,1029,BMW 5 Series,Pune,2008,112500,Diesel,Automatic,First,11,2993,235,5,8
1030,1030,Toyota Fortuner 2.8,Kochi,2013,105072,Diesel,Manual,First,14,2755,174,7,13
1031,1031,BMW X1 sDrive,Pune,2012,80000,Petrol,Automatic,First,11,1995,150,5,10
1032,1032,Renault Captur 1.5,Kochi,2019,3102,Diesel,Manual,First,20,1461,108,5,14
1033,1033,Hyundai Xcent 1.1,Coimbatore,2016,14656,Diesel,Manual,First,24,1120,71,5,7
1034,1034,BMW 3 Series,Hyderabad,2010,105000,Diesel,Automatic,Second,13,1995,170,5,11
1035,1035,BMW 5 Series,Hyderabad,2008,61000,Petrol,Automatic,Second,10,2497,215,5,11
1036,1036,Nissan Micra XE,Pune,2010,85046,Petrol,Manual,Second,18,1198,75,5,2
1037,1037,Jaguar XF 2.2,Delhi,2014,48000,Diesel,Automatic,First,16,2179,187,5,26
1038,1038,Land Rover Range,Bangalore,2011,55000,Diesel,Automatic,First,10,4367,308,7,67
1039,1039,Jeep Compass 1.4,Mumbai,2017,4000,Petrol,Automatic,First,16,1368,160,5,18
1040,1040,Honda CR-V 2.4,Delhi,2010,94000,Petrol,Automatic,Second,10,2354,152,5,5
1041,1041,Maruti Swift VXI,Coimbatore,2013,61110,Petrol,Manual,First,18,1197,85,5,5
1042,1042,Hyundai Xcent 1.1,Chennai,2016,80000,Diesel,Manual,First,24,1120,71,5,4
1043,1043,Nissan Terrano XV,Kochi,2015,43190,Diesel,Manual,First,19,1461,108,5,8
1044,1044,Audi A4 35,Hyderabad,2015,45000,Diesel,Automatic,First,18,1968,187,5,25
1045,1045,Hyundai Grand i10,Coimbatore,2016,44178,Petrol,Manual,First,18,1197,82,5,6
1046,1046,Toyota Innova 2.5,Hyderabad,2015,84415,Diesel,Manual,First,12,2494,100,8,14
1047,1047,Hyundai i20 1.2,Kolkata,2015,35000,Petrol,Manual,First,18,1197,80,5,5
1048,1048,Ford EcoSport 1.5,Kolkata,2013,44000,Diesel,Manual,First,22,1498,98,5,5
1049,1049,Honda City 1.5,Hyderabad,2012,67635,Petrol,Manual,First,17,1497,118,5,5
1050,1050,Ford EcoSport 1.5,Coimbatore,2018,18385,Petrol,Automatic,First,14,1497,121,5,12
1051,1051,Volkswagen Polo Diesel,Kolkata,2014,35000,Diesel,Manual,First,22,1199,73,5,4
1052,1052,Mercedes-Benz New C-Class,Mumbai,2010,49000,Diesel,Automatic,First,19,2143,170,5,9
1053,1053,Ford Ecosport 1.5,Hyderabad,2013,69000,Diesel,Manual,First,22,1498,89,5,7
1054,1054,Tata Indigo GLE,Hyderabad,2017,23228,Petrol,Manual,First,14,1396,65,5,4
1055,1055,Maruti Swift Dzire,Delhi,2014,68462,Diesel,Manual,First,26,1248,74,5,4
1056,1056,Maruti S-Cross Zeta,Coimbatore,2016,74611,Diesel,Manual,First,25,1248,88,5,8
1057,1057,Renault Duster 110PS,Pune,2014,90000,Diesel,Manual,First,19,1461,108,5,7
1058,1058,Maruti Wagon R,Delhi,2016,22000,Petrol,Manual,First,18,998,67,5,4
1059,1059,Hyundai Santro Xing,Hyderabad,2010,58163,Petrol,Manual,First,0,1086,62,5,2
